Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Undisclosed or unknown,"recDm89yd7CSnFCGW, reckmKYRcPUacNo61, recptaHnGluZaItKn, rec07VKE637npDIC2, rec0FnrzGaAdxNzMT, rec0ZAMzn0pVda0dr, rec3HtkaKOBmvqACV, rec3PQwZT9XhVAHZY, rec4JV5HW2fkKPlLi, rec5Lw5p9ZAg7RCdE, rec6RybWlsRFv28Hx, rec6fORJ75YcfecAI, rec6hBTouvyELxgwk, rec7dA5vcsMUF6Xfo, rec99bjokry8I3DbM, recAqgjY5clYlryZp, recB1UZGhedg6szZU, recBsiGJEq8XPiRtC, recBwtmLcJPxzUBqy, recCAEo1UhtyknQE9, recCPat1MmL2WuA7x, recCedLM7KKrkiFrA, recDEIzItlYUG7RfM, recEoQOtSFBndstEI, recExPjlrp7aRFhyU, recFEyAxtoKOFXGMM, recHF8th4ZI1TmbGO, recHcQYjfM3X98fQb, recHgWNwwdO1EEuWt, recHtgZ7KNTfiG7UJ, recK44kZ1dEzZBB3R, recKBpYJ9PtDJkNeS, recKt7EtFQA8dXkMb, recLrmvvxmtkp7nKp, recMw7U3hywUZd4Bp, recOGHlf4HhojgL40, recOKuqX0wJFjBDNk, recOar2WY4AsROUmi, recOgWILPdprJqkjs, recOhySFNr2CIYTVE, recPC46hhJWih9oJY, recPMfnTzPVcpawWw, recPTlrrrYRjyL5T9, recPVmuQwyihpjgzF, recQ0jeEGPPxbzX0D, recQnExQ9Gpw81bSK, recRDMVPSMn3XxuyV, recRFMj4FOP2hzLjJ, recRYbaXFQyUVZfIv, recRwrgnoHQF3jTbX, recS2rZN3zGwgXXl5, recS5Cnn06ketcxAM, recSyigtVHJ7B5RmH, recT83gNcAdvVbXxr, recTmiOGNktVq6sN9, recUL9ZbaR77BXgjg, recVLQAwsKYwbtiv3, recWnJWsmK6b3jMmT, recXLC8TjaODxokGF, recYBaxefD0FFrwQp, recYONsBc5e079XAV, recYfyIhuodCJvdxE, recYiM3YIQjpJIDiy, recZHFgqiKDjSw1Ig, recZo8G9lIhpVB3SV, recb7p9y1RW6zDErP, recbDYwtBjMmAd1XK, recbP0GDTZ6zkOGCQ, recdoaZkmrNGfbKnB, receH97uf8st6oJJw, recfRhnViXg3z0B2v, recfWfNLi2SSPHUdD, recftDk5irqQ3RFXM, rechvMEURIEOdsXNI, reci9DvBq9K1Q35bG, recjE59Fi1EQJiDvW, recjPar7RZAMyVmnG, recjR5vvNak2nI3Kn, reckCV4Obhv8MSKEc, reclgA09umlVmZ308, recmgeJgv0OZGgFIT, recneYsSGnvpfxjCU, reco8XFetKoSw2pae, reco99I8QBO87SlCw, recpYJ9DpkVk1aMFW, recq2OzIKmGvLlsCM, recq9yaReCGJKHhEx, recqIg6OjKRT1MQ7S, recqgfRkcTL8OBBhU, recqsPvAU2oJSZkeZ, recrS9VP70AGpDk8L, recs6foB78A1MGS5z, recsIy3C6hCggXq33, recswi1PaU0hXpJ4R, rectpzhCKh3r3wKV1, recu7m7nQf1qkRnQy, recuvFWKjDOK75HvP, recvh8Qc8z5XxWgVz, recw24EawbuEgVLiG, recwJva7YiYSD8aMH, recwmm1kRlXYTyJRF, recxg8ouSLPnml4lp, recyjp2toA6Gd5QxN, recymysqK4iwJJM8p, recyyAoJjkDHEpRfb, recz2XuolMui60PuX, reczTKbFottp2W1nR, recrCtNKehYFPGmC9, rec5z3dcqqSujiWKu, recKn3ULj44D3i5Cz, recL48d3KMquMzC3P, recRiGOQVr11T6kLg, recef2LW9e2AxLMm1, recjQUFIehI6yIrOm, recNESC5dyMyXD3Nv, recK0gWeZ5aLoTR42, reccELku3wNS3clUP, rec9p9EqFFPkfr4he, recxRQN994p4Z9KPR, recQfRVftY0SHGTyK, recMzat5xO51CvZHr, recp9fBV3dknoMTDA, recDpD1uGLbEiCM8j, rec0TFwmXuauC73tw, recgl7wbpev8pOpLb, recl8aGdImevfVznL","Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Factory Futures (MES, IIOT), Design Intelligence (CAD), Streamlined Supply Chain (SCM), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Design Intelligence (CAD), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Bleeding Edge BIM (AEC/BIM), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Factory Futures (MES, IIOT), Knowledge Engineering (R&D, Learning), Factory Futures (MES, IIOT), Streamlined Supply Chain (SCM), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Augmented Operations (MOM, CMMS, AR/VR, SLM), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), Design Intelligence (CAD), Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM), Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Bleeding Edge BIM (AEC/BIM), Knowledge Engineering (R&D, Learning), Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM), Cognitive Thread (PLM, MBSE, DT), Streamlined Supply Chain (SCM), Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Design Intelligence (CAD), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Factory Futures (MES, IIOT), Streamlined Supply Chain (SCM), Cognitive Thread (PLM, MBSE, DT), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), Adaptive Manufacturing (AM, CAM, CNC), Bleeding Edge BIM (AEC/BIM), Streamlined Supply Chain (SCM), Knowledge Engineering (R&D, Learning), Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Bleeding Edge BIM (AEC/BIM), Streamlined Supply Chain (SCM), Augmented Operations (MOM, CMMS, AR/VR, SLM), Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Streamlined Supply Chain (SCM), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT)","Violet Labs, Monumo, Numorpho Cybernetic Systems (NUMO), Mind Device, Inc., Relay Ace, PrimusAI, V3D Printing, TwinMo, Optellix, Response, Artura3D, Encycam, Nureo AG, Archaas, ShapesXR, Mimic Robotics, Vento, Mulin, Redwood EDA, Neofactory, Santinela, Werk24, PAILOT, RBF MORPH, Normal, MapShots, Flexify, formfactories, Dados, Intelcyx, COSMODOT, Specira, Flow Software, Evolinq, Quaoar Studio, Feather Solutions, Tanso3D (ceased operations in 2024), Asper Technologies (acquired by Siemens DISW in 2026), FOLDSTRUCT, HorneSci, BimDrone, cmBuilder.io, ProductFlo, Quarter20, Allus AI, ReilAI, HighQA, BIMtwin, ThredCloud, Octotronic, Optrix, Manufacturo, Vsim, PlaSiV, Spectar (bankrupt in 2023), Donut Labs, Kyrall, SUFFISCIENS, Twinview, Leap71, That Open Company, Fab.ai, Coreflux, Figurement, Wailand, Raven, Ara 3D, Elephant AI, Noah, XMPro, Foundation EGI, Pelico, Fainite AG, Vestigas, Cenos, Eigen Space Design, PLCcode.ai, Cerebital (Nora IPLM), SomebodyMakeIt, MontBlancAI, KREODx, Cadify.ai, Harmoni, Digel, Inkwell Data, Ltd, Sheetbuild, Ironloop, Bill-X Gmbh, EltegraAI, Pasteur Labs & ISI, plus10, Omniscient, nuvo3D, Sedaro, SourcePilot, Dozuki (acquired by Marlin Equity Partners in 2021), Zenesis, F4 Industries, Hontrel, Omnae, AI MakerSpace, Twindustrial GmbH, InterBolt, CADEXSOFT, Silsync, Matterize, Enzyme APD, Flywheel Industries, Green Factory AI, Flow Engineering, Elevating Patterns, OTee, Holy Technologies, heatshape, Struck, Fabriom, AirWorks, OpenSpace, Medra, Leucine, Secondmind, Digital Twin AI, Vizcom, explore, MOVEdot, Sensmetry",126,,,,,
Y-Combinator,"recgl7wbpev8pOpLb, recpmEwNT3VnWYTnS, recZtayPmkgJAlyXL, recDc8UA3t1ID7RR0, rec2QZQEyHoyAspgF, rec3858RhxkzPlxyn, rec4Ixgf8O1b6mlk4, rec6OOKA6HwJcsn4v, rec7iz5x0Pfosvl4l, rec7kdzAmft5Knlz0, rec8lfVfM13eGFRYt, recAGUHV0LQ4R5Jcu, recAZieEE4q99jF25, recB3ypVxHUQg6ft7, recDMBQvsiItc5sMu, recEwT0SoJPtDK2j8, recGQxKxcbMz6sG3q, recI2fwxWSPbBTVQZ, recJmjehtcAVatQK9, recOfRaVSSQnAO19o, recRZ0XMSHOnlgKnc, recSVLREj85ksFafe, recWIfUxcXUE7K43n, recXnPYUVun4MOI0k, recZ86YHSbyTc91Fk, recjuF67BCPrAXWap, recmF3dwee6Rf89pN, recnTHO9styVKAcEE, reco8MriB9sqzRFXC, recpHEzTLRiIOR5r0, recxMbAOcj1YGb7ss, recZLjXqtn5X8UyXN, rec2qK8wJvoJQ9Kiv, recBNlqW2cCBhb4S9, recCAkszHkQepFB1Y, rechDfDIOtYDlToZa","Factory Futures (MES, IIOT), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Streamlined Supply Chain (SCM), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Streamlined Supply Chain (SCM), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Bleeding Edge BIM (AEC/BIM), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), Extreme Analysis (CAE, CFD, FEA, QC), Cognitive Thread (PLM, MBSE, DT), Streamlined Supply Chain (SCM), Design Intelligence (CAD), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), Streamlined Supply Chain (SCM), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), Adaptive Manufacturing (AM, CAM, CNC), Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones), Streamlined Supply Chain (SCM), Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD)","MOVEdot, Mobius Materials, Leela AI, Sudozi, Zelos Cloud, MorphoAI, Poka Labs, artifact.engineer, Adam, Silimate, CoLab, GroundControl, ArchiLabs, Nextmv, Boltline, Campfire, Kalam Labs, Rescale, Dalus, Mandel AI, Plasticity, camfer, NavierAI, CoFactr, AON3D, Epsilon3, Hestus, RevisionDojo, Axial Composites, DraftAid, Atomic Industries, Jiga, Godela.ai, Rev1, Carbonfact, JitX",36,Individual,,,,
Bootstrapped,"recNvI1W8GGDgSdjI, recp9fBV3dknoMTDA, recOGHlf4HhojgL40, recD87UeGsdYoWVeF, rec4vINMauFO6rvMn, rec7uT9tSJ89WECCY, recE566HCjxW2AeLV, recGTxHtODSp5dlda, recNeHEBmVDMfqL1A, recOMILTK8RXItnNC, recY6uEnwnujPLLas, recmo9MH3fN6Zzgy5, rec2jbIENELw35Mh6, rec9ry6HJOvUi3mBk, recHBkCRIoIidEYp5, recIcVH5wlZW8Pm82, recKNoebdjvCcL0hC, recSYcroGbDZ9jXe1, recStByHn0deuHqBN, recUyi6CuY9lXV4v3, recXB45b0keLwP31p, recXCgAvth6kb56DI, recdnSbJ3ioC7ubg9, recm7BL7RBVAco3gV, recobQzBYbdc0Qmhh, recojYDHbj5eGFVYw, recvzKsTmyy8pmAXa, recwXoQpS7rsqoAeC, recwYP7b8iKfsDryy, rec3PQwZT9XhVAHZY, recCedLM7KKrkiFrA, recPC46hhJWih9oJY, recCPat1MmL2WuA7x","Adaptive Manufacturing (AM, CAM, CNC), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Adaptive Manufacturing (AM, CAM, CNC), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Knowledge Engineering (R&D, Learning), Streamlined Supply Chain (SCM), Design Intelligence (CAD), Design Intelligence (CAD), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Design Intelligence (CAD), Design Intelligence (CAD), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","SelectAM, Digital Twin AI, Feather Solutions, Fuuz, Aixma, SyncTwin, NYNE Gmbh, CADEXSOFT, Kabandy, VisionXt S.r.l., Mak3r.ai, Flow Software, StatStream, Share PLM, Pivot, COSMON, Orthogonal, Rhize Manufacturing Hub, Perception Manufacturing, Gradient Control, Spendkey, Acceleer, RD8, Taiyaki, Data Time Space, Designair, TimeSeer, Vendra, DivergenceAI, TwinMo, Werk24, BimDrone, Santinela",33,,,,,
Insight Partners,"rec8lfVfM13eGFRYt, recBbSGCtj8lyjwf0, recDB28cq9ZJxSPMO, recGoyQ9xfjzQTH4a, recHYBqnoVToJLZdM, recLcHLI6ctm2EU6C, recNM69VGQYACPQ7X, recQoXmyNVs9mxBao, recVy9LhoGyNIYsAO, reck7PzLjJhciQpJX, recleLXYV3KP12GWX, recr0TeU18gZaSe9e, recr9CZAsU7xMYkmN, recwqVPVGXleIjo9f, recxhL1LwIanxkUbp, recjVwJ9uNmggmr0C, recs4s3h3EQyeycg0, recuUkj9F23jdO3WK","Cognitive Thread (PLM, MBSE, DT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM), Extreme Analysis (CAE, CFD, FEA, QC), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Streamlined Supply Chain (SCM), Factory Futures (MES, IIOT), Augmented Operations (MOM, CMMS, AR/VR, SLM)","CoLab, Instrumental, BeyondMath, Tulip Interfaces, Software Defined Automation, GreenLite, MaterialsZone, Laminar, LandingAI, SimScale, Augury, Seeq, Monolith (acquired by CoreWeave in 2025), Aquant, nTop, Parter, Apprentice, Imubit",18,Institutional Investors,recyegNJcj61Dj1ai,Joshua Fredberg,,
Plug and Play,"rec7d0FvjP1gyjPSG, recI2fwxWSPbBTVQZ, recL43YEluUQiUjKs, recVqn8f7uNVGdq6l, recgq4Vry0fK1ip3p, recl2sHNH1iBtTW8J, recvTZMETI2QaCr2N, recNHMUKBX1nbYoBr, rec2ncOTpg6A0sHKF, rec3858RhxkzPlxyn, recGoyQ9xfjzQTH4a, recP5koyD8aQgd6XJ, recjXw5dW1RqIvyyx","Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Knowledge Engineering (R&D, Learning), Extreme Analysis (CAE, CFD, FEA, QC), Design Intelligence (CAD), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM)","Dirac, Rescale, CELUS, BaseTwo, AMESA (formerly Composabl), Acerta, etalytics, TopoLogic, Inc, KronosAI, MorphoAI, Tulip Interfaces, AI Materia, Track3D",13,Institutional Investors,,,,
Andreessen Horowitz (a16z),"rec5nixfNkgLmUi8W, recCAm1lIBoVQBwkH, recI2fwxWSPbBTVQZ, recVBqaNkXtojSij5, reckp7Hbr8KY6qt02, recyac7zbzrxXSk7s, recRRukGbM2kMf1Rt, recfaUqVhL0xQCWuC, rec6OOKA6HwJcsn4v, recVQRAKLIEZV36mD, reckN5HuDIMT0oNr3, recFYBeiS68qquXlW","Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT), Knowledge Engineering (R&D, Learning), Design Intelligence (CAD), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Knowledge Engineering (R&D, Learning)","Common Sense Machines, Skydio, Rescale, Kaedim, Hadrian, Labster, Backflip AI, Leo AI, artifact.engineer, EverCurrent, Sloyd, Periodic Labs",12,Individual,,,,
Lux Capital,"recFBuNnNTU7JEJGd, recFsmUzae6aA6blG, recG0V8gg3wGEf4mV, recKIkbCIk4cyBuz7, recUUYnLLIijmfRLo, recYo1lWfrlr1SZ7X, recdyBD0xEfMJTdFw, recjuF67BCPrAXWap, reckp7Hbr8KY6qt02, rectETKS0Dpcq47af, rec9p9EqFFPkfr4he, reccyqLGDAvuXeV2X","Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), SW+HW=Innovation (Robotics, Drones), Augmented Operations (MOM, CMMS, AR/VR, SLM), SW+HW=Innovation (Robotics, Drones), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT)","Pictorus, Womp, Desktop Metal (acquired by Nano Dimension in 2025), Formic, Voxel, Bright Machines, Lumafield, Epsilon3, Hadrian, Bild, OpenSpace, Nominal",12,Institutional Investors,,,,
NVentures,"rec6TkBnVySbyjpDS, recS7EiBi50k6R3ZB, recxhL1LwIanxkUbp, recH1QeSuLuNioBVb, rec30mNzF0ceoy5A2, recdAkJS5ou96QoCb, rec8Km9DgdcmOLX2p, recI2fwxWSPbBTVQZ, recYo1lWfrlr1SZ7X, recYlg0NT6IgOfeua, recuv6DgeXnWlbges","Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD), Factory Futures (MES, IIOT), Extreme Analysis (CAE, CFD, FEA, QC), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Design Intelligence (CAD), SW+HW=Innovation (Robotics, Drones)","Luminary Cloud, Machina Labs, nTop, Sight Machine, PhysicsX, Cusp AI, Morphorm, Rescale, Bright Machines, Compute Maritime, Vention",11,,,,,
Innovate UK,"rec6ZiWbsHoZwg5Ys, rec9fXaDmGWIhcUkt, recBb81FPZCTSrkkT, recJfn3i1mXRpsOYd, recOIFJQqwBMz02qx, recQyC01VNanWsPfv, recbpJYXobrrvTmDu, recyF4sX5KjbeYOpD, reczWRVSvY4MYVXdr, recclqhy1mEeilUHS","Extreme Analysis (CAE, CFD, FEA, QC), Cognitive Thread (PLM, MBSE, DT), Bleeding Edge BIM (AEC/BIM), Bleeding Edge BIM (AEC/BIM), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Design Intelligence (CAD), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC)","Voxshell, Matrac, Planarific, XYZ Reality, MatAlytics, Authentise, Gravity Sketch, Infinitive (formerly CAE Tech), Axial3D, Productive Machines",10,Individual,,,,
Alumni Ventures (Alumni Ventures Group),"recdyBD0xEfMJTdFw, rec6RNto3co791W0G, recHmtYpCHSxzL1Us, recMTewdnv14V4xxC, recS7EiBi50k6R3ZB, recYkDpXJjVoomX7k, rechEaoIuPsmQEqRc, recjtb0uz9MTyuK0I, reczjzXYBgUGpdPXn, rec7d0FvjP1gyjPSG","SW+HW=Innovation (Robotics, Drones), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Augmented Operations (MOM, CMMS, AR/VR, SLM), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT)","Lumafield, BQP, Glacier, ControlRooms.ai, Machina Labs, Divergent, Propel Software, Zoo, Citrine Informatics, Dirac",10,,,,,
Sequoia Capital,"recRosbPrcxJNsPFd, recVE5W6nsf7RqHqK, recSAGzsrJ3WSuoH0, recjtb0uz9MTyuK0I, rectuKApvYcNtWZHa, reccyqLGDAvuXeV2X, recTjnVK1MRM54KBf, recrGwy3PNhENjO8M, rechDfDIOtYDlToZa","Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Design Intelligence (CAD)","TDEngine, Mech-Mind Robotics, Overview AI, Zoo, Carbon, Nominal, Squint, Physna, JitX",9,Individual,,,,
Techstars and others,"recn6hvoRRdyDFRj1, recQfRVftY0SHGTyK, recFsmUzae6aA6blG, recKnOW4X2UHALrbw, recRwDJwYwaNfdNY9, recURcAFYawCUAkDO, recl2sHNH1iBtTW8J, rectETKS0Dpcq47af, rec46xGNtqh5GIbQa","Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), Cognitive Thread (PLM, MBSE, DT), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Factory Futures (MES, IIOT)","Diagon, Leucine, Womp, ExLattice, SysGit, MosaicMFG, Acerta, Bild, Castor (filed for bankruptcy in 2025)",9,Individual,,,,
Gaingels,"rec6RNto3co791W0G, recI2fwxWSPbBTVQZ, recS7EiBi50k6R3ZB, recizUovXfTjYfsqS, recjtb0uz9MTyuK0I, reclwEhs74kIaEbdm, recxMbAOcj1YGb7ss","Extreme Analysis (CAE, CFD, FEA, QC), Extreme Analysis (CAE, CFD, FEA, QC), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Design Intelligence (CAD), Adaptive Manufacturing (AM, CAM, CNC), SW+HW=Innovation (Robotics, Drones)","BQP, Rescale, Machina Labs, Guidewheel, Zoo, DigiFabster, Atomic Industries",7,Institutional Investors,,,,
New Enterprise Associates (NEA),"recG0V8gg3wGEf4mV, recGoyQ9xfjzQTH4a, recRRukGbM2kMf1Rt, recvohT18FH4InPy9, rec9pR44bem4XQCgE, recHmtYpCHSxzL1Us, recdAkJS5ou96QoCb","Adaptive Manufacturing (AM, CAM, CNC), Factory Futures (MES, IIOT), Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), Factory Futures (MES, IIOT), SW+HW=Innovation (Robotics, Drones), Cognitive Thread (PLM, MBSE, DT)","Desktop Metal (acquired by Nano Dimension in 2025), Tulip Interfaces, Backflip AI, Sana (acquired by Workday in 2025), Arch Systems, Glacier, Cusp AI",7,Institutional Investors,,,,
Acequia Capital (AceCap),"recGHV6f1YX5YrTQI, recRwDJwYwaNfdNY9, reckN5HuDIMT0oNr3, recvohT18FH4InPy9, recxMbAOcj1YGb7ss, rec7d0FvjP1gyjPSG, reco6wEFBFz2tuU1d","Factory Futures (MES, IIOT), Cognitive Thread (PLM, MBSE, DT), Design Intelligence (CAD), Knowledge Engineering (R&D, Learning), SW+HW=Innovation (Robotics, Drones), Factory Futures (MES, IIOT), Design Intelligence (CAD)","EthonAI, SysGit, Sloyd, Sana (acquired by Workday in 2025), Atomic Industries, Dirac, Hyperganic",7,Institutional Investors,,,,
Accel,"recEwT0SoJPtDK2j8, recUUYnLLIijmfRLo, recYuVxVW6Ztb8w42, recbpJYXobrrvTmDu, rec7Uaw0u7fGkWE91, recOs9vKlCvaFo6YZ, recuych3Gn0FxiBDD","Design Intelligence (CAD), Augmented Operations (MOM, CMMS, AR/VR, SLM), Augmented Operations (MOM, CMMS, AR/VR, SLM), Design Intelligence (CAD), Factory Futures (MES, IIOT), Factory Futures (MES, IIOT), Bleeding Edge BIM (AEC/BIM)","Campfire, Voxel, LinCode Labs, Inc., Gravity Sketch, Fictiv (Acquired by MISUMI in 2025), Cognite, SnapTrude",7,Institutional Investors,,,,
